year,time_aggregation_value,census_tract,totalrequests
2016.0,5.0,006500,185.0
2016.0,5.0,006600,132.0
2016.0,5.0,006700,149.0
2016.0,5.0,006801,89.0
2016.0,5.0,006802,90.0
2016.0,5.0,006804,20.0
2016.0,5.0,006900,119.0
2016.0,5.0,007000,167.0
2016.0,5.0,007100,98.0
2016.0,5.0,007200,171.0
2016.0,5.0,007301,14.0
2016.0,5.0,007304,105.0
2016.0,5.0,007401,48.0
2016.0,5.0,007403,37.0
2016.0,5.0,007404,93.0
2016.0,5.0,007406,29.0
2016.0,5.0,007407,101.0
2016.0,5.0,007408,55.0
2016.0,5.0,007409,48.0
2016.0,5.0,007502,77.0
2016.0,5.0,007503,109.0
2016.0,5.0,007504,49.0
2016.0,5.0,007601,212.0
2016.0,5.0,007603,121.0
2016.0,5.0,007604,124.0
2016.0,5.0,007605,81.0
2016.0,5.0,007703,112.0
2016.0,5.0,007707,127.0
2016.0,5.0,007708,50.0
2016.0,5.0,007709,61.0
2016.0,5.0,007803,186.0
2016.0,5.0,007804,74.0
2016.0,5.0,007806,99.0
2016.0,5.0,007807,70.0
2016.0,5.0,007808,140.0
2016.0,5.0,007809,97.0
2016.0,5.0,007901,186.0
2016.0,5.0,007903,98.0
2016.0,5.0,008001,151.0
2016.0,5.0,008002,193.0
2016.0,5.0,008100,125.0
2016.0,5.0,008200,138.0
2016.0,5.0,008301,248.0
2016.0,5.0,008302,135.0
2016.0,5.0,008402,151.0
2016.0,5.0,008410,227.0
2016.0,5.0,008701,122.0
2016.0,5.0,008702,109.0
2016.0,5.0,008802,218.0
2016.0,5.0,008803,33.0
2016.0,5.0,008804,121.0
2016.0,5.0,008903,123.0
2016.0,5.0,008904,70.0
2016.0,5.0,009000,45.0
2016.0,5.0,009102,166.0
2016.0,5.0,009201,52.0
2016.0,5.0,009203,116.0
2016.0,5.0,009204,37.0
2016.0,5.0,009301,162.0
2016.0,5.0,009302,89.0
2016.0,5.0,009400,201.0
2016.0,5.0,009501,86.0
2016.0,5.0,009503,142.0
2016.0,5.0,009504,127.0
2016.0,5.0,009505,161.0
2016.0,5.0,009507,62.0
2016.0,5.0,009508,93.0
2016.0,5.0,009509,111.0
2016.0,5.0,009601,71.0
